id,title,body,category,priority
1,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
2,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,alta
3,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
4,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,bassa
5,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
6,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
7,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
8,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,media
9,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,bassa
10,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,alta
11,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,bassa
12,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
13,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
14,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
15,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
16,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
17,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
18,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
19,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
20,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
21,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
22,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
23,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
24,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
25,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
26,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,media
27,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
28,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
29,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
30,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,bassa
31,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
32,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
33,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
34,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
35,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
36,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
37,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
38,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,alta
39,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
40,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
41,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
42,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
43,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
44,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
45,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
46,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
47,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
48,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
49,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
50,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
51,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,bassa
52,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,bassa
53,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
54,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
55,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
56,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,bassa
57,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
58,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
59,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
60,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
61,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
62,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,alta
63,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,bassa
64,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,alta
65,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
66,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,bassa
67,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
68,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
69,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,media
70,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
71,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
72,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
73,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,alta
74,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
75,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,bassa
76,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
77,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
78,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,alta
79,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
80,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
81,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,media
82,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
83,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
84,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
85,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
86,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
87,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
88,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
89,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
90,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
91,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
92,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
93,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
94,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
95,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
96,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
97,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
98,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
99,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
100,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
101,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
102,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,alta
103,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,alta
104,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
105,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
106,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,bassa
107,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
108,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
109,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
110,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
111,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,alta
112,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
113,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
114,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
115,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
116,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
117,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
118,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
119,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,media
120,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
121,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
122,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
123,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
124,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
125,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
126,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
127,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
128,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
129,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
130,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,bassa
131,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,alta
132,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
133,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
134,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,bassa
135,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
136,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,media
137,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
138,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
139,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
140,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
141,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
142,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
143,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
144,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,bassa
145,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
146,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,bassa
147,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
148,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,media
149,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
150,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,alta
151,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,bassa
152,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
153,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
154,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,bassa
155,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
156,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
157,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
158,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
159,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
160,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
161,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,media
162,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
163,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
164,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
165,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,alta
166,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,bassa
167,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
168,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,media
169,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
170,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
171,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
172,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
173,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,bassa
174,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
175,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
176,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,media
177,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
178,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
179,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
180,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
181,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
182,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
183,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
184,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,media
185,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,alta
186,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
187,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
188,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
189,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
190,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
191,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
192,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
193,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
194,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
195,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
196,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
197,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
198,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,bassa
199,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
200,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
201,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,alta
202,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
203,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
204,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
205,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
206,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
207,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
208,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
209,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,bassa
210,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
211,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,media
212,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,media
213,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
214,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,alta
215,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
216,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
217,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,media
218,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,bassa
219,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
220,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
221,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
222,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
223,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,media
224,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
225,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
226,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,alta
227,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
228,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
229,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
230,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
231,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,alta
232,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,alta
233,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
234,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,alta
235,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
236,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
237,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,bassa
238,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,alta
239,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
240,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,bassa
241,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,alta
242,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
243,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
244,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
245,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
246,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
247,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
248,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
249,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
250,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
251,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
252,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
