id,title,body,category,priority
253,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
254,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
255,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
256,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
257,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
258,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
259,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
260,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,alta
261,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
262,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
263,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
264,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,media
265,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,alta
266,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
267,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
268,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
269,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,media
270,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
271,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
272,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
273,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
274,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
275,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
276,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
277,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,media
278,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
279,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,alta
280,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,bassa
281,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
282,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
283,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
284,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
285,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
286,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
287,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,alta
288,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
289,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
290,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
291,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,media
292,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
293,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,media
294,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,media
295,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
296,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
297,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,alta
298,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
299,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,alta
300,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
301,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,alta
302,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,bassa
303,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,media
304,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
305,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,alta
306,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
307,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
308,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,media
309,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,media
310,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,bassa
311,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
312,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
313,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,alta
314,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
315,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
316,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
317,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
318,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
319,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
320,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,alta
321,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
322,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
323,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
324,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
325,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
326,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
327,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,media
328,Cambio intestazione fattura,Chiedo il cambio di intestazione della fattura a nome dell’associazione,Amministrazione,bassa
329,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
330,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
331,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
332,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
333,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,media
334,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
335,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
336,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,media
337,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
338,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
339,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,bassa
340,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,media
341,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
342,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
343,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
344,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
345,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
346,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,bassa
347,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
348,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,bassa
349,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,bassa
350,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
351,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
352,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
353,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
354,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
355,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,media
356,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,media
357,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
358,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
359,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
360,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
361,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
362,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
363,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
364,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
365,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,media
366,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
367,Sito non raggiungibile,Il sito risulta offline,Tecnico,media
368,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,alta
369,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,media
370,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
371,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
372,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
373,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
374,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
375,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,bassa
376,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
377,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,media
378,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
379,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
380,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,bassa
381,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,media
382,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
383,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
384,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,alta
385,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,media
386,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
387,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
388,Cambio intestazione fattura,Chiedo il cambio di intestazione della fattura a nome dell’associazione,Amministrazione,media
389,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,alta
390,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,bassa
391,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,alta
392,Prenotazione gruppo,Vorrei prenotare una visita per un gruppo numeroso,Commerciale,alta
393,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,media
394,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
395,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,alta
396,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
397,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
398,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
399,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
400,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,bassa
401,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,media
402,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,alta
403,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
404,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
405,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
406,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
407,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
408,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,alta
409,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
410,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,media
411,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
412,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,media
413,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
414,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
415,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
416,Pagamento non registrato,Ho pagato la fattura ma il sistema non lo segnala,Amministrazione,media
417,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
418,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
419,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
420,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,alta
421,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
422,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
423,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,media
424,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
425,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,alta
426,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,media
427,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,alta
428,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
429,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,alta
430,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
431,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,media
432,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
433,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,bassa
434,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
435,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
436,Prenotazione gruppo,Desidero informazioni per una prenotazione di gruppo,Commerciale,bassa
437,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,alta
438,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
439,Richiesta rimborso,"La visita è stata cancellata, come posso ottenere il rimborso?",Amministrazione,alta
440,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
441,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,media
442,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
443,Prezzi biglietti,Qual è il costo del biglietto?,Commerciale,bassa
444,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,alta
445,Prezzi biglietti,Sono previste riduzioni sul prezzo del biglietto?,Commerciale,bassa
446,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
447,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
448,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,bassa
449,Sito non raggiungibile,Il sito risulta offline,Tecnico,alta
450,Richiesta rimborso,Vorrei richiedere il rimborso della prenotazione,Amministrazione,media
451,Visite per scuole,Vorrei informazioni sulle visite scolastiche,Commerciale,bassa
452,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,bassa
453,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
454,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,media
455,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
456,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,bassa
457,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,media
458,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,bassa
459,Pagamento non registrato,Ho effettuato il pagamento ma non risulta registrato,Amministrazione,alta
460,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,media
461,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
462,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,alta
463,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
464,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,alta
465,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,media
466,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,alta
467,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,bassa
468,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
469,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
470,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,alta
471,Modulo contatti non funziona,Il modulo di contatto non permette l’invio del messaggio,Tecnico,media
472,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,media
473,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,media
474,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
475,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
476,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,bassa
477,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,bassa
478,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
479,Cambio intestazione fattura,Serve correggere l’intestazione della fattura già ricevuta,Amministrazione,bassa
480,Visite per scuole,Organizzate visite didattiche per scuole?,Commerciale,alta
481,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,bassa
482,Pagamento non registrato,Il pagamento è stato effettuato ma lo stato risulta ancora non pagato,Amministrazione,media
483,Prenotazione gruppo,È possibile organizzare una visita per più persone?,Commerciale,bassa
484,Modulo contatti non funziona,Il form contatti restituisce un errore,Tecnico,media
485,Errore importo fattura,Ho notato un errore nell’importo della fattura ricevuta,Amministrazione,media
486,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
487,Cambio intestazione fattura,La fattura deve essere intestata a un ente diverso,Amministrazione,media
488,Sito non raggiungibile,Il sito del museo non è raggiungibile da questa mattina,Tecnico,media
489,Sito non raggiungibile,La pagina principale non si carica,Tecnico,media
490,Prezzi biglietti,Potrei avere informazioni sui prezzi?,Commerciale,media
491,Errore prenotazione visita,Durante la prenotazione della visita il sistema va in errore,Tecnico,media
492,Richiesta rimborso,Chiedo il rimborso per una visita annullata,Amministrazione,alta
493,Errore prenotazione visita,La procedura di prenotazione si blocca,Tecnico,alta
494,Sito non raggiungibile,La pagina principale non si carica,Tecnico,alta
495,Visite per scuole,Ci sono percorsi dedicati alle scuole?,Commerciale,media
496,Errore importo fattura,La cifra riportata in fattura è errata,Amministrazione,media
497,Errore importo fattura,L’importo indicato in fattura non corrisponde a quanto pagato,Amministrazione,media
498,Errore prenotazione visita,Non riesco a completare la prenotazione online,Tecnico,alta
499,Modulo contatti non funziona,Non riesco a inviare una richiesta tramite il modulo,Tecnico,bassa
500,Cambio intestazione fattura,È possibile modificare l’intestatario della fattura emessa?,Amministrazione,bassa
